,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
Danube,0.0,4.3845244143962574e-13,0.0003405354732128547,4.80328365931202e-07,1.0822187123461724e-05,2.479403278400132e-06,0.6845390055661414,1.4299451226025396e-07,0.0002034290102737376,0.0017046648492162475,0.029810605180828266
Mississippi / Missouri,4.3845244143962574e-13,0.0,6.76390122209225e-51,1.5699671826148782e-27,2.174093546927662e-29,0.0010386311835415061,1.9461568900559114e-30,6.307457559699613e-06,6.363186526767507e-10,3.399338047357287e-27,0.008293059692537585
Colorado,0.0003405354732128547,6.76390122209225e-51,0.0,1.31468135606494e-50,6.07969615674402e-13,0.6565817085188522,2.1500673222782484e-25,0.20648190846427064,8.39056616817415e-12,4.888279920132165e-12,0.04229743607155157
California,4.80328365931202e-07,1.5699671826148782e-27,1.31468135606494e-50,0.0,4.5317143072817297e-13,0.9538809505096718,1.9890981116113414e-18,0.14231162572385608,3.951000641810953e-06,1.5355591524650577e-08,0.575856043534611
Yangtze Basin,1.0822187123461724e-05,2.174093546927662e-29,6.07969615674402e-13,4.5317143072817297e-13,0.0,0.0008678891006584697,1.51663331018641e-32,0.04470155030685239,9.678239362248498e-06,1.5777629535020166e-34,0.08659743041539061
Mekong Basin,2.479403278400132e-06,0.0010386311835415061,0.6565817085188522,0.9538809505096718,0.0008678891006584697,0.0,0.006272203370505271,5.0276875836564783e-05,1.0660224753191423e-06,0.08358362041604867,0.11756551955041278
Nile,0.6845390055661414,1.9461568900559114e-30,2.1500673222782484e-25,1.9890981116113414e-18,1.51663331018641e-32,0.006272203370505271,0.0,0.2279003484866898,4.807783263257511e-52,1.3259466350337224e-49,0.5070542169002764
Ganges / Bhramaputra Basin,1.4299451226025396e-07,6.307457559699613e-06,0.20648190846427064,0.14231162572385608,0.04470155030685239,5.0276875836564783e-05,0.2279003484866898,0.0,0.00011404475390723671,0.8183276808290744,0.1951839598021683
Congo,0.0002034290102737376,6.363186526767507e-10,8.39056616817415e-12,3.951000641810953e-06,9.678239362248498e-06,1.0660224753191423e-06,4.807783263257511e-52,0.00011404475390723671,0.0,2.233949043691163e-14,0.0174405615506248
Amazon Basin,0.0017046648492162475,3.399338047357287e-27,4.888279920132165e-12,1.5355591524650577e-08,1.5777629535020166e-34,0.08358362041604867,1.3259466350337224e-49,0.8183276808290744,2.233949043691163e-14,0.0,0.5001274632478482
Murray,0.029810605180828266,0.008293059692537585,0.04229743607155157,0.575856043534611,0.08659743041539061,0.11756551955041278,0.5070542169002764,0.1951839598021683,0.0174405615506248,0.5001274632478482,0.0
